Token: FUNCIO          | Valor:            | Linia: 2, Col: 0
Token: INT             | Valor:            | Linia: 2, Col: 7
Token: ID              | Valor: sumar      | Linia: 2, Col: 11
Token: LPAREN          | Valor:            | Linia: 2, Col: 16
Token: INT             | Valor:            | Linia: 2, Col: 17
Token: ID              | Valor: a          | Linia: 2, Col: 21
Token: COMA            | Valor:            | Linia: 2, Col: 22
Token: INT             | Valor:            | Linia: 2, Col: 24
Token: ID              | Valor: b          | Linia: 2, Col: 28
Token: RPAREN          | Valor:            | Linia: 2, Col: 29
Token: BEGIN           | Valor:            | Linia: 2, Col: 30
Token: INT             | Valor:            | Linia: 3, Col: 4
Token: ID              | Valor: res        | Linia: 3, Col: 8
Token: FILINEA         | Valor:            | Linia: 3, Col: 11
Token: ID              | Valor: res        | Linia: 4, Col: 4
Token: ASSIGN          | Valor:            | Linia: 4, Col: 8
Token: ID              | Valor: a          | Linia: 4, Col: 10
Token: SUMA            | Valor:            | Linia: 4, Col: 12
Token: ID              | Valor: b          | Linia: 4, Col: 14
Token: FILINEA         | Valor:            | Linia: 4, Col: 15
Token: RETURN          | Valor:            | Linia: 5, Col: 4
Token: ID              | Valor: res        | Linia: 5, Col: 11
Token: FILINEA         | Valor:            | Linia: 5, Col: 14
Token: FUNCIO_FI       | Valor:            | Linia: 6, Col: 0
Token: PROGRAMA        | Valor:            | Linia: 8, Col: 0
Token: BEGIN           | Valor:            | Linia: 8, Col: 8
Token: INT             | Valor:            | Linia: 10, Col: 4
Token: ID              | Valor: x          | Linia: 10, Col: 8
Token: ASSIGN          | Valor:            | Linia: 10, Col: 10
Token: NUMERO          | Valor: 15         | Linia: 10, Col: 12
Token: FILINEA         | Valor:            | Linia: 10, Col: 14
Token: INT             | Valor:            | Linia: 11, Col: 4
Token: ID              | Valor: y          | Linia: 11, Col: 8
Token: ASSIGN          | Valor:            | Linia: 11, Col: 10
Token: NUMERO          | Valor: 10         | Linia: 11, Col: 12
Token: FILINEA         | Valor:            | Linia: 11, Col: 14
Token: INT             | Valor:            | Linia: 14, Col: 4
Token: ID              | Valor: total      | Linia: 14, Col: 8
Token: ASSIGN          | Valor:            | Linia: 14, Col: 14
Token: ID              | Valor: sumar      | Linia: 14, Col: 16
Token: LPAREN          | Valor:            | Linia: 14, Col: 21
Token: ID              | Valor: x          | Linia: 14, Col: 22
Token: COMA            | Valor:            | Linia: 14, Col: 23
Token: ID              | Valor: y          | Linia: 14, Col: 25
Token: RPAREN          | Valor:            | Linia: 14, Col: 26
Token: FILINEA         | Valor:            | Linia: 14, Col: 27
Token: IF              | Valor:            | Linia: 17, Col: 4
Token: LPAREN          | Valor:            | Linia: 17, Col: 7
Token: ID              | Valor: total      | Linia: 17, Col: 8
Token: MAJOR           | Valor:            | Linia: 17, Col: 14
Token: NUMERO          | Valor: 20         | Linia: 17, Col: 16
Token: RPAREN          | Valor:            | Linia: 17, Col: 18
Token: BEGIN           | Valor:            | Linia: 17, Col: 19
Token: IMPRIMIR        | Valor:            | Linia: 19, Col: 8
Token: LPAREN          | Valor:            | Linia: 19, Col: 16
Token: BTRUE           | Valor: true       | Linia: 19, Col: 17
Token: RPAREN          | Valor:            | Linia: 19, Col: 21
Token: FILINEA         | Valor:            | Linia: 19, Col: 22
Token: ELSE            | Valor:            | Linia: 20, Col: 4
Token: BEGIN           | Valor:            | Linia: 20, Col: 8
Token: IMPRIMIR        | Valor:            | Linia: 22, Col: 8
Token: LPAREN          | Valor:            | Linia: 22, Col: 16
Token: BFALSE          | Valor: false      | Linia: 22, Col: 17
Token: RPAREN          | Valor:            | Linia: 22, Col: 22
Token: FILINEA         | Valor:            | Linia: 22, Col: 23
Token: ELSE_FI         | Valor:            | Linia: 23, Col: 4
Token: PROGRAMA_FI     | Valor:            | Linia: 24, Col: 0
